# Searching for station nr 26629 in ghcnm.tavg.v3.qca v3.3.0.20170102
# KAUNAS                        (LITHUANIA)
# coordinates:  54.88N,   23.83E,      77.0m (prob:   62m)
# WMO station code: 26629 KAUNAS                        
# tavg [Celsius] daily mean temperature (adjusted) from GHCN-M v3.3.0.20170102
 1922 -999.9 -999.9 -999.9 -999.9   11.8   14.6   17.5   16.1   12.0    4.1   -0.1   -1.9
 1923   -1.1   -7.8    1.8    4.4   11.8   12.0   17.5   14.9   13.5    8.8    3.0   -3.4
 1924  -10.1   -6.6   -2.8    3.6   13.4   16.4   16.3   16.4   14.1    8.5    1.9   -2.1
 1925    0.8    1.9    0.1    8.0   14.7   13.6   18.9   16.2   11.6    5.6    0.1   -3.5
 1926   -6.0   -3.3   -1.0    6.7   13.4   16.0   18.5   15.3   12.5    5.3    6.0   -4.2
 1927   -6.1   -5.0    2.3    4.9    8.8   14.9   20.2   17.8   13.2    7.3   -0.5   -7.8
 1928   -3.1   -4.5   -1.8    5.5   11.7   11.9   16.2   14.6   11.7    7.1    5.2   -4.1
 1929   -9.9  -16.0   -3.8    0.9   13.7   13.0   16.0   17.0   12.7    9.4    3.6    0.6
 1930   -0.9   -3.3    0.9    8.0   12.3   16.2   17.3   16.4   10.8    8.4    3.4   -4.4
 1931   -4.8   -6.5   -4.1    3.6   15.6   14.2   17.8   16.4   10.2    5.9    0.6   -1.7
 1932   -0.6   -8.3   -5.1    5.9   14.8   14.4   20.5   17.8   14.4    7.8    2.3    0.4
 1933   -8.2   -4.7    0.8    4.1   10.8   14.8   18.3   15.2   12.3    7.1   -0.3   -8.2
 1934   -3.2   -1.0    1.8    8.9   13.9   15.6   18.5   18.0   15.3    9.8    4.7   -3.5
 1935   -7.7   -2.2    0.4    6.5    9.6   17.6   15.6   16.4   13.0    9.3    1.5   -0.7
 1936   -0.6   -6.6    2.5    6.9   13.9   17.8   20.3   16.9   11.3    4.6    2.6    0.1
 1937   -8.3   -3.3    0.4    7.7   16.2   17.5   17.5   19.0   15.4    8.2    2.5   -6.0
 1938   -3.6   -1.3    4.3    4.7   11.5   15.6   18.8   19.7   14.2    9.1    4.6   -5.4
 1939   -2.1    0.6   -1.4    7.5   10.6   16.9   19.4   20.6   12.2    3.9    2.3   -4.0
 1940  -13.9  -14.0   -4.7    4.7   12.8   17.1   18.5   15.3   11.9    5.5    3.9   -5.3
 1941  -12.2   -5.3   -1.5    2.6    9.2   14.7   19.4   16.7   10.5    4.4   -3.3   -3.4
 1942  -14.8   -9.9   -8.7    4.1   10.2   13.0   16.0   17.7   13.6    8.2   -0.4   -1.4
 1943   -9.8    0.1    2.3    7.4   10.9   16.0   15.7   17.0   13.4    8.5    1.4   -1.0
 1944   -1.0   -2.7   -1.1    3.9   11.0   14.1   18.7   18.1   12.7    8.2    1.8   -2.8
 1945   -7.2   -2.1   -0.1    5.9   10.7   14.4   18.4   17.6   11.9    6.3    1.1   -4.0
 1946   -4.4   -4.1   -0.9    7.8   12.5   15.8   19.1   17.4   13.0    3.5   -0.9   -4.5
 1947   -8.8  -13.8   -2.6    5.9   13.2   17.5   18.4   16.4   14.4    5.6    1.6   -1.3
 1948   -2.4   -5.3    0.1    8.9   14.8   16.4   17.1   17.3   13.4    6.6    1.5   -1.7
 1949   -1.3   -1.4   -1.0    7.2   14.5   15.3   17.5   15.5   15.0    8.6    4.0    1.0
 1950  -11.4   -1.7    1.0    9.5   13.1   15.7   16.2   16.3   13.4    6.6    1.8   -0.4
 1951   -5.4   -4.4   -2.6    7.5   10.1   16.2   16.8   19.0   14.0    5.3    2.5    0.8
 1952   -1.4   -4.2   -8.4    8.8    9.9   14.0   17.2   17.1   10.7    5.7    0.0   -3.1
 1953   -5.1   -6.7    0.3    7.5   11.9   17.3   18.7   16.3   12.4    8.3    0.5   -3.9
 1954   -9.9  -12.5    0.4    3.7   14.3   17.6   17.1   16.6   13.8    7.1    0.7    0.0
 1955   -4.9   -5.9   -4.4    2.1    9.6   13.0   17.9   18.2   14.5    8.0    1.4   -4.4
 1956   -5.0  -14.4   -3.5    3.3   11.0   17.5   15.6   13.9   10.5    6.7   -2.5   -1.9
 1957   -1.9    0.4   -1.3    6.8   10.7   14.9   18.0   15.7   10.9    7.9    3.0   -3.4
 1958   -5.2   -3.9   -4.9    2.8   12.9   14.1   16.6   15.4   11.8    8.6    2.7   -2.5
 1959   -2.3   -2.5    2.8    6.9   10.8   15.8   19.6   17.8   10.2    5.8    1.0   -5.3
 1960   -6.4   -6.9   -3.1    5.6   12.2   16.2   17.5   16.4   11.0    6.3    2.3    2.0
 1961   -3.5   -0.3    2.3    6.9   11.2   17.0   16.0   14.6   11.8    8.2    2.5   -4.6
 1962   -1.5   -5.1   -5.1    7.5    9.7   13.2   14.9   14.6   10.6    7.2    2.6   -6.2
 1963  -12.2   -9.5   -5.2    5.2   15.4   15.0   18.4   18.2   13.3    7.0    3.1   -6.1
 1964   -4.1   -8.6   -5.4    4.7   11.3   18.3   17.7   15.0   11.3    6.5    1.3   -2.0
 1965   -3.6   -7.5   -2.5    4.7    8.4   15.0   15.1   14.4   13.5    6.6   -2.9   -1.6
 1966   -7.5   -6.1    0.4    5.2   13.1   16.9   17.8   15.8   10.9    7.9    0.8   -3.4
 1967   -9.3   -3.0    2.2    5.8   13.4   14.9   17.3   16.1   14.4    9.8    3.2   -4.5
 1968   -9.5   -4.8    0.2    7.0   10.2   17.0   15.8   16.9   12.1    5.7    0.5   -4.0
 1969  -10.7   -7.4   -4.9    4.4   12.0   14.7   17.1   15.7   11.5    6.6    3.2   -9.6
 1970   -8.8   -8.9   -1.4    5.0   12.1   16.0   16.5   15.9   11.0    5.6    2.0   -2.1
 1971   -3.4   -2.2   -3.0    5.5   13.5   14.8   17.3   18.0   10.5    7.1    0.3    1.2
 1972  -10.1   -2.3    0.0    5.3   12.5   17.4   20.1   17.3   11.5    4.7    2.9   -0.3
 1973   -4.0   -0.5    1.7    5.6   11.8   16.6   18.5   16.4   10.1    5.0    0.3   -3.3
 1974   -3.1   -0.1    1.6    5.3    9.6   14.2   15.2   16.3   13.2    6.5    2.6    1.0
 1975    0.3   -1.2    2.5    5.6   13.7   15.2   17.9   17.4   14.3    6.8   -0.3   -0.2
 1976   -5.7   -7.5   -2.9    5.3   10.8   13.2   17.3   15.0   11.5    3.0    3.4   -2.5
 1977   -5.1   -3.2    1.3    4.5   12.6   16.1   15.1   15.2    9.9    6.9    3.6   -2.8
 1978   -3.9   -6.9    1.6    4.9   11.1   14.4   15.7   15.5   10.0    6.7    5.8   -8.6
 1979   -8.7   -7.8   -0.5    5.0   13.8   18.5   13.6   16.5   11.9    4.9    1.4   -0.8
 1980   -7.4   -6.0   -4.4    5.7    8.1   16.3   16.5   15.3   11.7    7.3   -0.2   -1.3
 1981   -4.6   -2.8    0.1    4.0   13.9   16.1   17.3   15.6   12.4    8.0    1.9   -4.2
 1982   -5.6   -4.3    1.4    5.0   12.4   13.7   17.8   17.2   12.8    7.2    3.8    0.4
